y 2 k deal,0.6614
new pooling point # 7342,0.5158
unify production back - eol deals highlighted,0.5836
missing txu lonestar and oasis paths,0.6797
valero 8018 and 1394,0.5608
"enron actuals for december 28 , 1999",0.8312
"hpl nomination for december 30 , 1999",0.8621
"meter 74 , december bridgeback error",0.9682
hl & p flow,0.3408
"koch three rivers , # 6722",0.2812
"producer shut - in list for victoria 18 "" line work",0.8023
"producer shut - in list for victoria 18 "" line work",0.8834
"re : koch three rivers , # 6722",0.0479
meter 73 - dec 1999,0.1498
"transco bammel , meter 74 , december 29",0.0815
"koch three rivers , # 6722",0.7734
"united oil & minerals , inc .",0.4046
"thanks for january 1 , 2000",0.9744
"koch three rivers , # 6722",0.8587
calpine,0.3085
unresolved issues for jan 1 .,0.0412
january setup - - mops,0.382
re : missing service rates for ena / hplc cash desk,0.9379
hl & p december,0.1484
buyback deals - - january 2000,0.1031
industrials,0.2247
"re : c & e operating , 11 / 99 production",0.0278
thanks from ken walther,0.1306
re : industrials,0.5644
bridge back error,0.8066
updated spreadsheet,0.863
"enron actuals for january 4 , 2000",0.318
hl & p month to date,0.7272
5 th noms,0.5478
real time deal updates to path manager - test group,0.2821
january - meter 2186 clear lake city gate,0.5736
ces deals,0.3115
lyondell - - # 1063,0.1462
expense,0.6953
logistics training,0.3784
revised 7 th noms,0.9791
7 th noms,0.9661
ces - blue dolphin pipeline,0.0706
re : request for application report list,0.3498
columbia energy history data,0.7903
re : txu fuel for december,0.599
issues,0.3224
hl & p,0.4881
new email,0.8546
eol application id and password,0.2032
copano ' s changes for 7 th,0.0707
valero,0.961
cox exploration,0.1592
re : valero,0.6316
industrial accounts,0.5597
industrial accounts,0.4597
industrial accounts,0.8706
marketing services / scheduling,0.7161
internal guest id and passowrd,0.7145
decrease entex rom,0.6614
ua 4 - 1998,0.0293
re : revision - black marlin - meter 986782 for 8 / 98 - ua 4,0.4189
shut in of meter 986240,0.0754
subject : rankings for source / destination,0.2739
unresolved issues for jan 1 . - followup,0.0325
upcoming sitara risk assignment release,0.5071
re : unresolved issues for jan 1 . - followup,0.4543
fw : quips,0.7252
reply,0.5258
rollout schedule for unify real - time deal / path updates,0.7126
re : request for application report list,0.291
meter 1517 - 12 / 99,0.5329
hl & p flow,0.9397
re : sales to panenergy at exxon clear lake for 2 / 99,0.755
meter 8743 dec 99,0.7064
calpine force majeure - dec 99,0.7055
hl & p for 12 / 99,0.3718
re : hl & p for 12 / 99,0.2868
meeting thoughts,0.8937
entex contact list,0.3979
meter 6353,0.3297
entex estimates for 12 / 99,0.4128
"hpl nomination for january 15 thru 17 , 2000",0.8422
rincon petroleum corp,0.8644
re : sales to panenergy at exxon clear lake for 2 / 99,0.9762
re : document,0.6053
"hpl nomination for january 18 , 2000",0.4611
new analysts,0.1918
2000 plan allocations,0.8159
global risk management operations,0.37
18 noms to city gates,0.545
reliant energy entex transaction # 4,0.5501
12 / 99 k ' s needed and 1 / 2000 k ' s needed,0.7336
re : meter 989614,0.1204
re : 12 / 99 k ' s needed and 1 / 2000 k ' s needed,0.7588
19 th noms on copanos,0.6964
hl & p,0.7629
2000 plan allocations,0.6865
review texas budget meeting,0.4036
2000 plan allocations and january allocations,0.5504
re : interview itinerary,0.8123
reliant energy - entex transport imbalance,0.6304
cut 20 / d into midcon,0.983
carthage plant imbalance,0.9434
project hurricane / bridgeline status,0.1467
entex transaction 7,0.673
21 st changes,0.687
re : ces deal summary,0.4492
valero - - meter 8018,0.5855
rescheduling of usecase analysis for enom mtg .,0.4758
gmt . inc .,0.3563
re : gmt . inc .,0.8951
pat - out for jury duty,0.0586
meter 1428 - brandywine / dupont and beamont methanol,0.8589
1 / 00 allocations,0.9814
monthly clean - up and bridge back for non - edi pipes,0.3904
re : valero - - meter 8018,0.9384
"phillips petroleum , inc .",0.2293
february production estimate,0.3195
over $ 50 - - you made it happen !,0.9628
over $ 50 - - you made it happen !,0.2522
re : greatwood gas,0.996
hpl noms,0.3922
ces desk move,0.5452
day 26 - txu lonestar called on 20000 at carthage,0.4111
"hpl nomination for january 26 , 2000",0.1928
mobil - beaumont - fyi,0.4966
equistar sale off of tejas or midcon,0.0944
02 / 00 natural gas nomination,0.8541
office administrator needed,0.6844
entex for jan . 2000,0.2588
ces - duke en field services,0.5818
re : 02 / 00 natural gas nomination,0.4215
sitara # 92886,0.1319
copano changes,0.4282
feb noms,0.5758
"deals 141877 , 141883 , and 141884 ( koch midstream ) were in ces ' s system ( and",0.818
josey ranch est . - - feb . 2000,0.1033
the 1999 form w - 2 and retiree tax form 1099 - r,0.0084
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 27 / 2000,0.4433
is this fri feb 11 a problem for taking vacation ?,0.1723
98 - 6240,0.9628
copanno changes,0.9317
follow - up,0.9185
customer list,0.8046
hpl noms,0.5228
re : equistar,0.4514
"mobil february , 2000 activity",0.2879
lyondell - citgo,0.2759
storage,0.0867
re : lyondell - citgo,0.3494
purchase and sale nominations - eastrans pipeline / carthage / fuels,0.6321
re : license,0.6944
revised hpl nom . . . .,0.8938
revised nom for copano ' s . . . small but we will keep a close eye on,0.1698
winter cap for entex,0.4591
devon accounting contact,0.5921
"ces meeting minutes - january 18 , 2000 - ena obligations to ces",0.6859
re : schedule,0.6425
re : ua 4,0.4951
hl & p january 2000,0.0092
98 - 3405 activity being allocated / nomed @ 98 - 9643,0.1509
re : license,0.6718
entex monthly mtg . eb 37 cl,0.1116
january 2000 withdrawals from storage,0.1233
98 - 9794 ( saxet thompsonville ) receiving under nom,0.5253
y 2 k pbas,0.5823
nomination for purchase and sale,0.5967
union gas - thamm # 1,0.4557
road - show . com q 4 i . com choose enron to deliver financial web content,0.9732
enron and chase manhattan bank sign long - term energy management,0.6096
organization announcement,0.8751
increase volume into midcon,0.9115
winter cap volumes,0.5546
re : 98 - 9794 ( saxet thompsonville ) receiving under nom,0.2973
re : 98 - 3405 activity being allocated / nomed @ 98 - 9643,0.0065
bridgeback error at meter 1450 for 11 / 99,0.3651
re : nomination 2 / 4 / 2000,0.7125
nomination 2 / 3 / 2000,0.486
curtains,0.2436
fw : missing man formation,0.1749
noms for the 4 th,0.5634
increase into midcon,0.6758
meter 7266,0.3876
cilco storage withdrawal,0.458
meter 9699,0.1114
meter 98 - 9699 & 98 - 2662 ( receipt meters w / delivery noms ),0.1769
98 - 1534,0.8658
re : meter 98 - 9699 & 98 - 2662 ( receipt meters w / delivery noms ),0.5414
nominations on hpl purchase and sale - 2 / 5 through 2 / 7,0.9239
fw : whose needs ? ? ? ? ? ? ? ?,0.8707
""" ram tackett "" : pictures",0.4056
tech - support @ service . juno . com : problems retrieving mail,0.2434
president @ juno . com : exciting news - free internet access !,0.4769
re :,0.039
buyer vs . seller on intercompany deals,0.3977
notes from initial enom use case meeting - 2 / 2 / 00,0.6371
5 th changes @ duke and air liquide,0.0056
some after thoughts to our meeting,0.3607
energy operations promotions,0.5518
february & january 2000 industrial activities,0.5583
february issues,0.8296
february buyback deals,0.1857
hl & p flow month to date,0.0613
tom o ' connor shut - in list,0.8465
woops . . . .,0.2619
2000 goals & objectives,0.5795
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 07 / 2000,0.6708
hpl / eastrans nom - 2 / 8 / 00 ; hpl busby redelivery / sale - 2 / 8 / 00,0.7051
fortune most admired ranking,0.269
8 th noms,0.3616
union gas - doehrman # 1,0.7125
mid - tex deals,0.7645
9 th noms,0.633
"gary ,",0.4067
global data management - gas asset support,0.1779
"re : accounting arrangements for 98 - 6725 , 98 - 6575 & 98 - 6014",0.5352
fw : calpine daily gas nomination ( revised ),0.7624
987012,0.6178
sitara updates,0.1467
out thurs & friday,0.2464
re : union gas - doehrman # 1,0.5464
transport p / l ( with fuel ) report,0.963
pathing procedures for buybacks,0.255
"32 , 000 mmbtu nom remains in place ; 7 , 000 mmbtu from fuels cotton",0.5388
wassup ! ! ! ! ! !,0.4833
re : entex volumes,0.0921
change into midcon due to ppa,0.457
mips january actuals,0.7168
sale to shoreline,0.6421
nomination 2 - 11 - 2000 ; 2 - 9 and 2 - 10,0.9459
curtains,0.6393
copano changes,0.53
sale to shoreline,0.6677
gathering contract volumes feb 00,0.7702
clear lake methanol,0.7644
alternative work schedule status,0.0077
"lindholm oil , inc .",0.6323
"meter 5961 , dunagan , j . a . # 1",0.0666
meter 9769 jan 00,0.0806
re : sale to shoreline,0.9859
valentines day help,0.4739
the expatriate zone - issue # 1 2 / 14 / 00,0.4376
"hpl noms for february 15 , 2000",0.6836
new noms,0.7378
http : / / www . pge - texas . com / www / gtt . nsf / htmlmedia / operations . html,0.6482
logistics enom team,0.2961
meter 5961,0.0817
change in operating companies,0.0084
nom for 2 / 16 / 00,0.9841
"re : lindholm oil , inc .",0.7646
lst rev feb . 2000 josey ranch nom,0.7509
re : allocation exceptions,0.8166
meter 9682,0.181
re : lst rev feb . 2000 josey ranch nom,0.4524
re : copano line gain contract needed at meter 5310,0.8882
nom for 2 / 17,0.6458
meter 9682,0.3514
98 - 6892 overflow,0.9211
yesterday ' s off - site,0.8499
operational expense k on midtex pipeline,0.5314
shut - in of meter 0984179 hoff heller unit 22 cdp,0.3941
cilco pathing - withdrawl and hplc transport pathing,0.6239
hpl nomination for 02 / 18 / 2000,0.4278
memo from steve schneider,0.8767
re : 98 - 6892 overflow,0.1551
deal 107937 for 1 / 2000,0.042
copano changes for the 19 th,0.9518
98 - 6736 & 98 - 9638 for 1997 ( ua 4 issues ),0.3771
cdnow order confirmation,0.3884
hgpl and kgpl - 3 rivers gas,0.5864
revised march 2000 avails,0.3685
hl & p month to date flow,0.1926
texas & hplc deals that end 2 / 28 / 00,0.534
cilco pathing - withdrawl and hplc transport pathing,0.2461
re : hpl system training,0.5338
purchasing computer equipment,0.5105
meter 986315 torch rally / el sordo 1 / 00,0.6717
february updates,0.7316
hpl nomination for 02 / 23 / 2000,0.6501
cdnow shipment confirmation,0.9476
23 rd noms,0.1173
timeline calendars,0.2785
enron methanol,0.7464
"per nelson ferries ( dealmaker ) : we do pay spinnaker i - . 08 . o ' neal , could you",0.3818
re : nomination - 2 - 23 - 2000,0.4707
nomination - 2 - 23 - 2000,0.6138
nomination - 2 - 23 - 2000,0.2968
see attached memo,0.6757
"re : potential volume list for march , 2000",0.8377
natural gas nomination for 03 / 00,0.545
monthly manangement lunch,0.0557
monthly charges for analysts on your rc report,0.0875
midcon invoices,0.4191
1 / 2000 meter 9643 three rivers issues,0.3359
re : midcon invoices,0.9245
koch midstream services,0.3706
mtg . with gas assets group,0.6658
follow up 1 / 2 day off - site,0.3495
income tax,0.978
nom change @ superior clear lake,0.5532
twenty biggest customers,0.8376
half day of vac on 2 / 28,0.2142
wrong again,0.7926
eol killed deals,0.1117
nom for 2 / 28 and 2 / 29 - hpl deliveries to eastrans,0.5766
nomination - hpl dleivery to eastrans - 3 / 1 / 2000,0.8901
weekend noms,0.3938
revised copanop # for lst,0.8334
cross training,0.4415
josey ranch est . - - mar . 2000,0.6334
estimate file updates,0.0703
industrial report,0.456
new pooling points,0.4844
march 1 noms,0.8422
29 th changes,0.8985
february surveys,0.2443
cp name change / merger list for 2 / 2000,0.7978
activity driver quantity survey,0.6611
re : columbus energy deals,0.2026
3 / 1 / 2000 noms,0.3016
43,0.4594
fw : coaching sessions with mike mauldin,0.6183
well heads,0.8389
re : ken petroleum corporation,0.3209
aquila header ( meter # 980072 ) - january volumes,0.9633
hl & p february premlinary flow numbers,0.2384
re : meter 986315 torch rally / el sordo 1 / 00,0.2583
role of brian heinrich and jennifer blay in energy operations,0.2965
support for monthly charges for analysts on your rc report - please,0.4192
training resources and cost to attend energy operations systems,0.7312
organizational announcement,0.5796
wells,0.4162
re : transport flash for feb 00,0.929
feb 2000 intercompany accrual variances,0.3025
wells,0.0192
wells,0.4082
re : 3 - rivers / king ranch / hplr liquids,0.0462
recorded line request,0.9114
98 - 0432,0.4449
meter 9643 for 1 / 2000,0.9363
oasis pma ' s for 1999,0.4183
re : 1 / 2000 meter 9643 three rivers issues,0.1637
oasis jan 00,0.8605
meter 1335 july 99,0.1127
3 / 4 / 2000 and following noms,0.5444
3 / 4 / 2000 and following noms,0.0999
fwd : wazzzup 2 nd version,0.2329
weekend nom change,0.8093
1 / 2000 lower colorado river vols,0.936
98 - 1052 and 98 - 1534 ( k extensions ),0.3655
calpine daily gas nomination,0.8716
feedback error - 1 / 00,0.9761
nomination - eastrans - 3 / 7 / 2000,0.564
manager coaching program,0.0724
income tax,0.1705
re : first delivery - texaco e & p,0.6969
would you have an objection to mapping the east texas gas system to the,0.8677
fw : monday evening ' s gas flow,0.5641
addition of tejas meter # 1156,0.6732
re : aquila header ( meter # 980072 ) - january volumes,0.1508
eops salary survey questionnaire,0.1793
p & l,0.42
just a note,0.9236
welcome to woodworkingtips . com !,0.0815
fw : complaint department,0.4805
fw : midcon 9401 ( permanent march file - expanded distribution li,0.4036
2000 customer trip proposal,0.5933
re : midcoast marketing,0.5571
well heads,0.2857
well head,0.4134
98 - 6719 and 98 - 9676,0.8381
re : 98 - 6719 and 98 - 9676,0.2974
sitara position,0.8904
wellheads,0.2276
re : allocation exceptions,0.3703
re : 98 - 6719 and 98 - 9676,0.2782
kingwood cove march specials ! !,0.6853
initial - cp name change / merger 3 / 2000,0.5051
valero gas marketing ; meter # : 8018 / sitara ticket # 148376,0.3654
valero gas marketing ; meter # : 8018 / sitara ticket # 148376,0.0807
amoco energy 2 / 00,0.1721
re : valero gas marketing ; meter # : 8018 / sitara ticket # 148376,0.2917
nom for 3 / 14 and 3 / 15,0.9977
nomination fvor 2 / 14 / 2000 and 2 / 15 / 2000,0.4162
well head,0.7295
weekend noms will either of you forward to ken lay,0.2904
bpa rate case - seasonal rates,0.0285
"kn changes upstream on the 60 k to 92155 for the 5 , 000 and we bring",0.5809
calpine daily gas nomiantion,0.504
address change - - ken seaman,0.532
1999 hpl unaccounted for,0.9235
nominations for eastrans reciept for 3 / 15 and following .,0.8493
nominations for eastrans reciept for 3 / 15 and following .,0.2875
nominations for eastrans reciept for 3 / 15 and following .,0.4317
lst rev mar . 2000 josey ranch nom,0.6709
nomination into eastrans - 3 / 18 / 2000,0.8047
labor distribution report,0.3021
team room,0.9476
hplr liquids / humble gas pipeline,0.2564
re : hplr liquids / humble gas pipeline,0.2893
midtex,0.8366
re : lst rev mar . 2000 josey ranch nom,0.0054
2 nd rev mar . 2000 josey ranch nom,0.3657
mitchell gas services 2 / 00,0.1191
1497,0.922
nomination for 3 / 21 / 2000,0.4397
"hey ! guess it was hard to get back , huh ! i was going to get jake one of",0.8182
@ ect . enron . com email notification !,0.6685
chris hose corrected resume,0.6158
2 nd rev mar . 2000 josey ranch nom,0.7669
lst rev mar . 2000 josey ranch nom,0.2481
well head,0.8168
mobil discrepancies,0.6304
cilco storage,0.8736
pg & e texoma volumes,0.5423
desk to desk deal needed at meter 378 for february 2000,0.8988
re : pg & e texoma volumes,0.3441
tejas deliveries at oasis katy,0.1239
transport contracts,0.807
help !,0.1086
re : help !,0.5981
storage deal 47472 and 60747,0.4359
re : cilco storage,0.2508
mips,0.4335
re : pg & e texoma volumes,0.683
i can receive attachments on my hotmail address . i can ' t get on juno . send,0.5858
"first deliveries - cico oil & gas co . , and union gas corp .",0.5729
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 03 / 21 / 2000,0.051
"re : march 2000 activity ; enichem elastomers americas , inc .",0.205
"march 2000 activity ; enichem elastomers americas , inc .",0.622
re : pg & e texoma volumes,0.9644
vacation scheduled,0.4102
vacation scheduled,0.476
"meter # 0989814 - gmt , inc . - 1 / 00 production",0.2359
methanol plant upset,0.788
meter 8740 dec 99,0.4571
clmp outage,0.6765
re : meter 8740 dec 99,0.2663
deal 156071 feb 00,0.9781
nomination 3 / 21 / 2000,0.4338
new arrival ? ?,0.3867
re : new turn - ons,0.1718
new turn - ons,0.4916
23 rd noms,0.6018
april availabilities,0.3257
calpine daily gas nomination,0.2989
southern union,0.606
re : deal 156071 feb 00,0.2908
re : deal 156071 feb 00,0.1999
re : deal 156071 feb 00,0.3274
look at this - - it ' s important ! ! ! ! !,0.2574
"february , meter 9822 sanchez worthen central pt .",0.2609
jake,0.5782
april production estimate,0.2568
re : deal 144932 ces - lila allen,0.5035
april vacation,0.9638
nom change for champions,0.9108
february o & m reports,0.351
williams energy marketing,0.0938
"change name on pipeline , contract no . teco 9121 , global contract no .",0.5067
mtbe upset,0.961
meoh upset,0.0649
wassup - south park,0.6262
this week ' s woodworking tip . . . follow - up,0.2247
your membership on woodtips has been put on hold,0.8378
mtbe plant upset,0.6416
fyi,0.6469
jan & feb midcon invoices,0.4926
re : storage deal 47472 and 60747,0.1789
analyst hiring needs,0.2807
exxonmobil beaumont refinery fuel needs,0.7505
new pan energy exchange deal meeting,0.2199
"re : deer park railroad crossing 18 "" 3026 line",0.1561
natural gas nomination for 04 / 00,0.4736
meoh upsets,0.0429
nominations for rest of april 1,0.4179
"hpl nom for march 28 , 2000",0.5197
"potential list for april , 2000",0.8726
april lst noms . . .,0.2309
hunt petroleum,0.9212
pg & e texas contract 5095 - 037 for 2 / 00,0.2111
new locations,0.8658
unify close schedule,0.0539
re : tejas deliveries at oasis katy,0.7751
midlothian first nominations,0.7394
panenergy marketing exchange deal,0.1449
april spot tickets,0.6352
mtbe upsets,0.9479
updates for april,0.9271
re : teco gas processing company,0.0924
fw : 3 rd rev mar . 2000 josey ranch nom,0.6822
panenergy marketing company,0.7338
during / after hours contact information,0.7979
fyi - new product on eol,0.9016
"iwon member news : iwon tv show , new year of prizes , more !",0.4978
@ ect . enron . com email notification !,0.9268
april golf specials ! !,0.3091
procedure for adding new capacity tickets for multi - desk service,0.5214
hplc to wellhead,0.6886
re : april spot tickets,0.815
re : first delivery - texaco e & p,0.4611
re : jan & feb midcon invoices,0.3663
hpl 3 - rivers gas flowing through king ranch,0.8021
re : resume attached,0.4465
re : jan & feb midcon invoices,0.1657
josey ranch est . - - apr . 2000,0.385
nominations for gas days 29 & 30 on behalf of bruce mcmills,0.5712
wellhead,0.849
walter o & g / superior april noms,0.9701
april 1 noms,0.8652
re : astros web site comments,0.4183
"april , aspect volume @ texas city",0.9551
98 - 6892 for 3 / 15 / 2000 and 3 / 23 / 2000,0.3185
march surveys,0.6566
march activity survey,0.2137
re : mitchell gas services 2 / 00,0.6913
nomination 4 / 1 / 2000,0.8862
fw : fw : gap gift certificates,0.7422
cdnow order confirmation,0.2955
new update for buybacks,0.5799
re : 98 - 6892 for 3 / 15 / 2000 and 3 / 23 / 2000,0.8317
nomination - eastrans - - 4 / 4 and 4 / 5,0.532
procedure for adding new capacity tickets for multi - desk service,0.4454
updated buyback worksheet,0.7686
re : new update for buybacks,0.6113
walter o & g / superior april noms,0.8666
hpl liquids / exxon,0.803
new employee,0.5269
training for sabrae,0.3241
980432,0.0148
transaction confirmation sheets,0.0123
meter 986296,0.9854
king ranch,0.4928
re : meter # 0986725 - 1 / 00 production - encina gas marketing,0.0204
correction to 4 / 5 / 00 nomination for eastrans,0.1619
cdnow shipment confirmation,0.9668
test to dfarmer @ enron . com,0.4699
"re : april , aspect volume @ texas city",0.4512
"april , aspect volume @ texas city",0.404
re : 98 - 9794 ( saxet ),0.3777
98 - 9794 ( saxet ),0.1694
98 - 9794 ( saxet ),0.8159
copanos changes for the 4 th,0.6625
issues with measurement ( gary anderson ' s group ),0.8836
new financial operations contacts for energy operations,0.3267
enron methanol ; meter # : 988291,0.6672
re : enron methanol ; meter # : 988291,0.5903
correction to 4 / 5 / 00 nominations for eastrans and nomination for,0.6121
correction to 4 / 4 & 4 / 5 nominations for eastrans,0.2638
registration confirmation - my yahoo !,0.3179
your mom,0.8608
re : sitara release ( re : changes in global due to consent to,0.9011
fyi,0.9671
walter o & g / superior april noms,0.2831
deletion of your enrononline user id,0.0465
buyback / deficiency deals worksheet,0.5373
buyback / deficiency deals worksheet,0.229
re : sitara release ( re : changes in global due to consent to,0.1279
re : march preliminary ledgers,0.2194
k ' s needed @ 98 - 1534 and 98 - 6725,0.7778
re : correction to 4 / 5 / 00 nominations for eastrans and nomination,0.6352
hr performance objectives binders,0.3652
"i spoke with the person who confirms pg & e on our side , and she said that",0.7967
re : sitara release ( re : changes in global due to consent to,0.6914
re : producer connects on the 215 contract - april,0.7376
neither ena / rac / egf employees nor family members or others living in their,0.691
re : equistar deal tickets,0.8971
re : buyback / deficiency deals worksheet,0.8457
valero marketing & supply { pasadena } meter # : 1394 / sitara # :,0.3192
"re : texas nom , lp dba garrison , ltd",0.0309
98 - 1600 & 98 - 6725 needing k ' s,0.8372
ces - carthage,0.7935
98 - 1188 k for 4 / 1 & 4 / 2 / 2000,0.2659
fw : men & cars,0.2391
wellhead,0.941
enron net works,0.3774
re : equistar deal tickets,0.909
pan energy marketing exchange settlement,0.3458
"nomination - tuesday , 4 / 11",0.6609
on call notes for weekend ; april 7 th thru april 9 th,0.4567
calpine daily gas nomination,0.1223
oasis pipe line company,0.1582
98 - 6373,0.9547
re : coastal deal - with exxon participation under the project,0.3759
nomination 4 / 12 / 2000,0.8772
fw : special prayer request,0.2869
re : fyi - wellhead portfolio,0.2792
re : equistar deal tickets,0.2848
re : equistar deal tickets,0.7732
re : equistar deal tickets,0.358
fyi - gas flow,0.9286
king ranch,0.3416
well head,0.2909
meters,0.8006
lst rev apr . 2000 hpl nom,0.6747
copanos changes,0.387
"brandywine meter # : 981225 ; march , 2000 activity",0.8244
february and march 2000 meter 5688,0.4443
kingwood cove golf specials ! !,0.3005
jake,0.8876
"re : brandywine meter # : 981225 ; march , 2000 activity",0.5537
"brandywine meter # : 981225 ; march , 2000 activity",0.9512
"aspect resources - meter # 78033 , # 78032 - 3 / 00 production",0.8041
february and march 2000 meter 5688,0.7036
re : pg & e texas meeting,0.6699
"re : brandywine meter # : 981225 ; march , 2000 activity",0.5568
well head,0.3343
texaco 989826,0.5242
ena organizational changes,0.9208
meter 1517,0.5378
"re : coastal oil & gas usa , l . p . gas gathering agreement",0.4665
march business - meter 6490 - help,0.3305
yvette ooto,0.7095
re : meters,0.3055
memo and presentation from brian redmond,0.2917
good friday,0.3769
memo and presentation from brian redmond,0.0316
ena 202 and hpl 216 transport contracts needed at meter 378 for,0.8384
cp & l data,0.3944
calpine force majeure,0.2537
noms,0.0781
"re : texas nom , lp dba garrison , ltd",0.3973
"texas nom , lp dba garrison , ltd",0.5464
eol application id and password,0.0427
entex - may,0.3708
southern union for may,0.7194
tufco,0.0907
re : hpl delivery meter 1520,0.838
so union,0.4635
so union,0.3946
panenergy exchange deal - feb . 2000 production,0.0082
re : hpl delivery meter 1520,0.7014
josey ranch est . - - may 2000,0.0287
wellheads,0.4658
re : hpl delivery meter 1520,0.9612
panenergy marketing march 2000 production,0.4701
calpine may,0.1498
nomination 5 / 1 / 2000,0.5721
shell houston open,0.1418
bammel easter egg hunt pictures,0.1254
may wellheads,0.1961
- - - - - - - - - - - - - - - - - - - - - - forwarded by tom acton / corp / enron on 04 / 24 / 2000 12 : 41,0.6245
vance here is a list of meters that are in sitara under the well head,0.0644
natural gas nomination for 05 / 00,0.6913
meter # 1591 lamay gaslift,0.4476
meter # 1591 lamay gaslift,0.8584
popsprd migration,0.4889
guest access to eol,0.0731
may golf specials ! !,0.3715
re :,0.9314
organizational changes,0.8721
98 - 2601,0.6738
meter # 1591 lamay gas lift,0.4187
"february 2000 production , pg & e discrepancy for 02 / 24 / 00 ( pan",0.2018
mike clinchard resume,0.0429
sean wells resume,0.6217
unify close schedule,0.1554
ces deals,0.6931
bridgeline workorder,0.3921
e - mail,0.204
cpr pipeline exchange activity report,0.9272
public report 04 - 26,0.3811
entex revised estimates for 4 / 00,0.6222
entex revised estimates for 4 / 00,0.0632
updated spreadsheet,0.3622
nom 5 / 1 ( revised again ) - eastrans,0.3038
nom 5 / 1 ( revised ) - eastrans,0.4579
get a $ 25 certificate just for responding to this e - mail,0.6861
re : unify / sitara enhancements,0.35
well heads,0.0736
unify / sitara enhancements,0.2806
cannon interest may 2000 purchase,0.8531
april allocation % ' s - preliminary,0.1851
( no subject ),0.879
wellhead,0.6877
organizational changes,0.6187
april activity surveys,0.0018
spring basketball tournament,0.3265
unify,0.5837
texas risk organization,0.142
the foundation course - bottom - line project management ( july 25 - 26 ),0.372
nom 5 / 5 - eastrans,0.7187
sarco lateral and crow o ' connor meters,0.4708
new hpl meter - vidor city gate - check ( meter 098 - 8746 ),0.0486
revised nom 5 / 5 - eastrans ; revised nom for 5 / 6 and following,0.1004
unify performance problem on wednesday,0.1458
6 th noms,0.0954
memo from office of the chair,0.4669
failed deals,0.2545
fyi - new pager number,0.0219
fw : updated contact sheet,0.0825
enron scheduled volumes - - - may 6 thru 8,0.9222
ena sales on hpl,0.1985
new unify transaction / volume count reports,0.1351
well head,0.2433
sarco lateral and crow o ' connor meters,0.4133
calpine daily gas nomination,0.8539
well heads,0.7204
ena sales on hpl,0.3377
houston gas & power controls / standards assessment,0.5097
mid year prc meeting,0.2709
re : i / c variance for deal 72893,0.1759
meter 5192,0.4483
entex volumes and price for 1999 - 2000 contract year,0.8078
how do you get your hands around this ? ? are there reports which can help ?,0.4021
re : i / c variance for deal 72893,0.7101
pops it team temporarily moving to allen center,0.6744
"dave n out of pocket next week , beyond",0.6973
well head,0.6591
enron mid - year 2000 performance management process,0.8878
please re - map hpl zone 4 from a / s east beaumont to a / s east beaumont offer .,0.6416
lst rev may 2000 hpl nom,0.8741
entex,0.8667
gepl volumes,0.2655
re : meeting confirmation - may 18,0.0076
re : cannon interest may 2000 purchase,0.0545
deadlines - 2000 customer meeting,0.0511
the new power company,0.4297
